"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: payloadType","Param: seed","Param: size","Param: testType","Param: threads"
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,12345.471248,346.576334,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,1244.140559,64.924404,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,378.239323,47.114289,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,118.981089,45.227711,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,15.577929,4.360169,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",1,40,7724.571182,4.327063,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,iterate,1
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",1,40,1104.372666,13.985311,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,iterate,1
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",1,40,134.640433,0.913816,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,iterate,1
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",1,40,34.718103,0.104648,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,iterate,1
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",1,40,17.346251,0.077491,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,iterate,1
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",1,40,8.781229,0.040455,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,iterate,1
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,62960.539643,525.443197,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,14064.066465,218.559884,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,1669.564859,18.736764,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,366.539656,21.201010,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,208.683132,18.501800,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,31.280550,11.376937,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,8569.005047,81.595686,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,iterate,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,1116.365138,18.771909,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,iterate,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,135.262983,1.847307,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,iterate,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,33.921397,0.818817,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,iterate,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,15.707933,1.356828,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,iterate,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,7.388565,0.254137,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,iterate,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,15532.157751,155.915257,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,2107.824825,30.338605,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,221.399557,7.451507,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,64.808337,1.290359,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,33.381808,0.486459,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,14.722186,0.874666,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,13505.605350,308.892693,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,even,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,1674.535137,30.765965,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,even,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,216.854430,2.872896,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,even,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,65.959735,0.693803,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,even,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,32.436925,0.605699,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,even,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",2,40,7.403265,2.161140,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,even,2
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,43662.513969,413.346486,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,6799.266128,207.089126,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,451.160785,12.313050,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,133.491902,5.474799,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,76.521127,3.262866,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,34.425235,8.876383,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,iterate,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,24216.572225,146.458230,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,3786.916924,400.787732,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,487.431940,6.495213,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,122.618371,9.518373,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,67.100468,1.076234,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,16.619392,4.586193,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,iterate,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,50259.010259,1109.007153,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,7868.710206,172.965715,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,1269.097687,56.597688,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,256.944227,29.409197,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,124.593009,13.429987,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,67.931094,7.009536,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,26008.841734,229.490021,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,4094.579338,106.262567,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,396.963090,6.514294,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,111.633504,2.434613,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,54.467242,0.974386,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,29.209682,0.706330,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,64537.260728,2085.285794,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,iterate,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,23940.859567,759.143433,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,iterate,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,1640.323925,37.969904,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,iterate,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,375.456333,22.829226,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,iterate,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,204.567518,30.187427,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,iterate,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,31.469993,9.089607,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,iterate,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,39717.689022,1596.956284,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,13173.701389,176.624727,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,2320.884681,87.394420,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,513.154999,63.767562,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,300.141190,32.378892,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,125.995190,16.603982,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,33786.602752,332.190541,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,update,8
